seed,orders,quality,skip_budget,human_model,status,target,target_verb,target_obj,wait_seconds,wait_censored,tasks_before,verbs_before,durations_before,ai_idle_seconds_while_waiting,ai_idle_pct_while_waiting,exec_rank,natural_rank,rank_gain,plan_owner,wait_any_seconds,wait_any_censored,done_by_other,served,completed,makespan_actual_s,human_idle_pct,wall_seconds
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,4,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.7,19.2
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,2,follow_plan,ok,chop_banana,chop,banana,5.0,0,2,chop|chop,1.7|3.3,0.0,0.0,3,4,1,AI,0.3,0,0,1,0,100.0,69.6,71.3
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,0,follow_plan,ok,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,100.0,1,6,chop|chop|chop|chop|chop|chop,2.3|3.5|3.4|2.4|0.6|1.9,85.9,85.9,,,,人,100.0,1,0,0,0,100.0,98.8,83.4
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,4,follow_plan,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,1,0,AI,2.1,0,0,3,1,26.7,33.7,20.4
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,2,follow_plan,ok,chop_orange,chop,orange,0.0,0,0,,,0.0,0.0,1,1,0,AI,2.4,0,0,3,1,26.9,34.2,19.7
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,bad,0,follow_plan,ok,chop_banana,chop,banana,0.0,0,0,,,0.0,0.0,1,4,3,AI,2.5,0,0,3,1,28.9,14.9,21.6
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,good,4,follow_plan,ok,chop_onion,chop,onion,0.0,0,0,,,0.0,0.0,1,1,0,AI,6.9,0,0,3,1,24.7,38.9,18.4
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,good,2,follow_plan,ok,chop_onion,chop,onion,0.0,0,0,,,0.0,0.0,1,1,0,AI,2.6,0,0,3,1,28.5,22.5,22.9
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,0,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,5.1,0,1,3,1,26.7,27.7,18.7
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,random,4,follow_plan,ok,cook_lettuce_tomatosoup,cook,lettuce-tomato soup,8.9,0,3,chop|chop|chop,2.1|3.4|3.4,0.0,0.0,4,,,,0.0,0,0,3,1,26.7,27.7,18.4
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,2,follow_plan,ok,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,9.3,0,1,3,1,26.7,27.7,18.8
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,0,follow_plan,ok,mix_orange_bananajuice,mix,orange-banana juice,29.7,1,6,chop|chop|chop|chop|cook|handover,2.4|3.6|3.1|3.1|0.8|2.0,0.0,0.0,,,,人,0.7,0,1,3,1,29.7,18.9,20.3
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,bad,4,follow_plan,ok,chop_banana,chop,banana,8.0,0,4,chop|chop|chop|chop,1.7|0.4|2.7|3.2,0.0,0.0,5,4,-1,AI,2.4,0,0,3,1,36.1,58.4,27.2
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,2,follow_plan,ok,chop_apple,chop,apple,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,1.4,0,0,3,1,32.1,52.0,24.8
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,0,follow_plan,ok,chop_orange,chop,orange,0.0,0,0,,,0.0,0.0,1,3,2,AI,2.4,0,0,1,0,100.0,13.7,53.3
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,25.7,1,6,chop|chop|chop|chop|cook|chop,1.7|2.8|2.5|1.0|1.2|2.8,0.0,0.0,,,,人,4.9,0,1,3,1,25.7,13.2,17.8
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,follow_plan,ok,chop_tomato,chop,tomato,25.7,1,6,chop|chop|chop|chop|cook|chop,1.7|2.8|2.5|1.0|1.2|2.8,0.0,0.0,,,,人,4.9,0,1,3,1,25.7,13.2,17.4
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,follow_plan,ok,chop_tomato,chop,tomato,25.9,1,6,chop|chop|chop|chop|cook|chop,1.7|3.0|2.5|1.0|1.2|2.8,0.0,0.0,,,,人,5.1,0,1,3,1,25.9,13.9,14.2
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,follow_plan,ok,serve_from_counter_onion_tomatosoup,serve_from_counter,onion-tomato soup,27.0,1,7,chop|chop|chop|chop|cook|chop|handover,1.7|3.0|2.5|1.0|1.2|2.8|13.7,0.7,2.6,,,,人,12.2,0,1,3,1,27.0,14.4,12.9
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.3,19.5
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.7,19.3
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.3,19.2
