seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,4,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,618,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,good,0,greedy,3,1,23.6,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,bad,2,greedy,3,1,28.4,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 共有置き場ID未割当のため待機中,1,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,4,greedy,3,1,32.2,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,0,greedy,3,1,28.2,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,random,2,greedy,3,1,23.6,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,good,4,greedy,3,1,23.6,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,random,0,greedy,3,1,23.6,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,2,greedy,3,1,27.0,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,4,greedy,3,1,27.0,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,0,greedy,3,1,27.0,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,2,greedy,3,1,27.0,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
