map,seed,quality,skip_budget,status,orders,num_tasks,num_candidates,target,target_verb,target_obj,target_serves_soup,natural_rank,natural_rank_agent,excess,makespan_baseline_s,makespan_constrained_s,loss_s,constrained_rank,inserted_count,inserted_total_s,inserted_durations_s,baseline_status,constrained_status,baseline_solve_s,constrained_solve_s
ring,2,bad,0,ok,OnionTomatoSalad|OnionLettuceSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,3,0,3,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.016,0.0161
ring,2,bad,2,ok,OnionTomatoSalad|OnionLettuceSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,3,0,1,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0154,0.0195
ring,2,bad,4,ok,OnionTomatoSalad|OnionLettuceSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,3,0,0,20.6,20.6,0.0,3,3,4.1,1.7|2.0|0.4,OPTIMAL,OPTIMAL,0.0151,0.0225
ring,2,random,0,ok,OnionTomatoSalad|OnionLettuceSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,3,0,3,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0144,0.0128
ring,2,random,2,ok,OnionTomatoSalad|OnionLettuceSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,3,0,1,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0162,0.0205
ring,2,random,4,ok,OnionTomatoSalad|OnionLettuceSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,3,0,0,20.6,20.6,0.0,3,3,4.1,1.7|2.0|0.4,OPTIMAL,OPTIMAL,0.0182,0.0194
ring,3,good,0,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_tomato,chop,tomato,1,1,0,1,20.6,21.8,1.2,0,0,0,,OPTIMAL,OPTIMAL,0.0202,0.0171
ring,3,good,2,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_tomato,chop,tomato,1,1,0,0,20.6,20.6,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0191,0.0252
ring,3,good,4,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_tomato,chop,tomato,1,1,0,0,20.6,20.6,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0172,0.0221
ring,3,bad,0,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_lettuce,chop,lettuce,0,3,0,3,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0131,0.0266
ring,3,bad,2,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_lettuce,chop,lettuce,0,3,0,1,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0188,0.0221
ring,3,bad,4,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_lettuce,chop,lettuce,0,3,0,0,20.6,20.6,0.0,3,3,4.1,1.7|2.0|0.4,OPTIMAL,OPTIMAL,0.0227,0.0353
ring,3,random,0,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_tomato,chop,tomato,1,1,0,1,20.6,21.8,1.2,0,0,0,,OPTIMAL,OPTIMAL,0.018,0.0138
ring,3,random,2,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_tomato,chop,tomato,1,1,0,0,20.6,20.6,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0198,0.0259
ring,3,random,4,ok,OnionLettuceSalad|OnionLettuceSalad|OnionTomatoSoup,10,6,chop_tomato,chop,tomato,1,1,0,0,20.6,20.6,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0178,0.0198
ring,4,good,0,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,chop_lettuce,chop,lettuce,1,0,0,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0224,0.0347
ring,4,good,2,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,chop_lettuce,chop,lettuce,1,0,0,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0266,0.0399
ring,4,good,4,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,chop_lettuce,chop,lettuce,1,0,0,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0187,0.0371
ring,4,bad,0,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,chop_tomato,chop,tomato,0,2,0,2,20.5,21.6,1.1,0,0,0,,OPTIMAL,OPTIMAL,0.0191,0.0214
ring,4,bad,2,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,chop_tomato,chop,tomato,0,2,0,0,20.5,20.5,0.0,2,2,2.5,2.1|0.4,OPTIMAL,OPTIMAL,0.0195,0.0307
ring,4,bad,4,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,chop_tomato,chop,tomato,0,2,0,0,20.5,20.5,0.0,2,2,2.5,2.1|0.4,OPTIMAL,OPTIMAL,0.0185,0.0256
ring,4,random,0,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,cook_lettuce_onionsoup,cook,lettuce-onion soup,1,1,0,1,20.5,20.5,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0205,0.0206
ring,4,random,2,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,cook_lettuce_onionsoup,cook,lettuce-onion soup,1,1,0,0,20.5,20.5,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0161,0.0199
ring,4,random,4,ok,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,10,6,cook_lettuce_onionsoup,cook,lettuce-onion soup,1,1,0,0,20.5,20.5,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0189,0.023
ring,5,good,0,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0252,0.0494
ring,5,good,2,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0239,0.0496
ring,5,good,4,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0211,0.0534
ring,5,bad,0,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_lettuce,chop,lettuce,0,4,0,4,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0224,0.0245
ring,5,bad,2,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_lettuce,chop,lettuce,0,4,0,2,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0207,0.0299
ring,5,bad,4,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_lettuce,chop,lettuce,0,4,0,0,20.6,20.6,0.0,4,4,5.9,1.7|2.0|0.4|1.8,OPTIMAL,OPTIMAL,0.0206,0.0279
ring,5,random,0,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,serve_salad_lettuce_onionsalad,serve_salad,lettuce-onion salad,0,8,0,8,20.6,26.8,6.2,2,2,3.2,1.8|1.4,OPTIMAL,OPTIMAL,0.0265,0.017
ring,5,random,2,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,serve_salad_lettuce_onionsalad,serve_salad,lettuce-onion salad,0,8,0,6,20.6,26.4,5.8,4,4,6.9,1.7|2.0|1.8|1.4,OPTIMAL,OPTIMAL,0.0278,0.0278
ring,5,random,4,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,serve_salad_lettuce_onionsalad,serve_salad,lettuce-onion salad,0,8,0,4,20.6,20.6,0.0,6,6,9.1,1.7|2.0|0.4|1.8|1.8|1.4,OPTIMAL,OPTIMAL,0.0294,0.0316
ring,6,good,0,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0212,0.03
ring,6,good,2,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0155,0.021
ring,6,good,4,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0247,0.025
ring,6,bad,0,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,chop_lettuce,chop,lettuce,0,4,0,4,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0227,0.0274
ring,6,bad,2,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,chop_lettuce,chop,lettuce,0,4,0,2,20.6,22.8,2.2,0,0,0,,OPTIMAL,OPTIMAL,0.0205,0.0312
ring,6,bad,4,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,chop_lettuce,chop,lettuce,0,4,0,0,20.6,20.6,0.0,4,4,5.9,1.7|2.0|0.4|1.8,OPTIMAL,OPTIMAL,0.0228,0.0329
ring,6,random,0,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,serve_salad_lettuce_tomatosalad,serve_salad,lettuce-tomato salad,0,5,0,5,20.6,27.2,6.6,2,2,3.5,1.8|1.7,OPTIMAL,OPTIMAL,0.018,0.0108
ring,6,random,2,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,serve_salad_lettuce_tomatosalad,serve_salad,lettuce-tomato salad,0,5,0,3,20.6,26.0,5.4,3,3,5.2,1.7|1.8|1.7,OPTIMAL,OPTIMAL,0.0235,0.024
ring,6,random,4,ok,FullSalad|TomatoLettuceSalad|OnionTomatoSoup,11,7,serve_salad_lettuce_tomatosalad,serve_salad,lettuce-tomato salad,0,5,0,1,20.6,20.6,0.0,5,5,7.6,1.7|2.0|0.4|1.8|1.7,OPTIMAL,OPTIMAL,0.0238,0.0277
ring,7,good,0,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_lettuce,chop,lettuce,1,0,0,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.016,0.0238
ring,7,good,2,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_lettuce,chop,lettuce,1,0,0,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.014,0.0238
ring,7,good,4,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_lettuce,chop,lettuce,1,0,0,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0161,0.0265
ring,7,bad,0,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0145,0.0212
ring,7,bad,2,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0179,0.0256
ring,7,bad,4,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0125,0.0187
ring,7,random,0,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,1,21.2,22.0,0.8,0,0,0,,OPTIMAL,OPTIMAL,0.0149,0.0186
ring,7,random,2,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0149,0.0255
ring,7,random,4,ok,OnionTomatoSalad|OnionLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0135,0.0238
ring,8,good,0,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,1,21.2,22.0,0.8,0,0,0,,OPTIMAL,OPTIMAL,0.0175,0.0202
ring,8,good,2,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0166,0.0233
ring,8,good,4,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0205,0.029
ring,8,bad,0,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0244,0.0354
ring,8,bad,2,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0166,0.0302
ring,8,bad,4,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0248,0.0317
ring,8,random,0,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,cook_lettuce_tomatosoup,cook,lettuce-tomato soup,1,2,0,2,21.2,21.2,0.0,2,2,4.1,2.1|2.0,OPTIMAL,OPTIMAL,0.0199,0.0156
ring,8,random,2,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,cook_lettuce_tomatosoup,cook,lettuce-tomato soup,1,2,0,0,21.2,21.2,0.0,2,2,4.1,2.1|2.0,OPTIMAL,OPTIMAL,0.0307,0.0374
ring,8,random,4,ok,OnionLettuceSalad|OnionTomatoSalad|TomatoLettuceSoup,10,7,cook_lettuce_tomatosoup,cook,lettuce-tomato soup,1,2,0,0,21.2,21.2,0.0,2,2,4.1,2.1|2.0,OPTIMAL,OPTIMAL,0.0159,0.0252
ring,9,good,0,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0176,0.0223
ring,9,good,2,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0164,0.0247
ring,9,good,4,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_onion,chop,onion,1,0,0,0,20.6,20.6,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0162,0.0203
ring,9,bad,0,ok,TomatoLettuceSalad|OnionTomatoSalad|OnionTomatoSoup,10,7,chop_lettuce,chop,lettuce,0,5,0,5,20.6,23.0,2.4,0,0,0,,OPTIMAL,OPTIMAL,0.0207,0.0157
