seed,orders,quality,skip_budget,human_model,status,target,target_verb,target_obj,wait_seconds,wait_censored,tasks_before,verbs_before,durations_before,tasks_before_paid,verbs_before_paid,ai_idle_seconds_while_waiting,ai_idle_pct_while_waiting,exec_rank,natural_rank,rank_gain,plan_owner,wait_any_seconds,wait_any_censored,done_by_other,served,completed,makespan_actual_s,human_idle_pct,wall_seconds
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,0,follow_plan,ok,carry_orange,carry,orange,0.0,0,0,,,0,,0.0,0.0,1,3,2,AI,1.3,0,0,3,1,24.4,8.2,14.6
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,2,follow_plan,ok,carry_lettuce,carry,lettuce,0.9,0,1,carry,0.9,1,carry,0.0,0.0,2,2,0,AI,2.3,0,0,3,1,22.6,1.3,13.8
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,4,follow_plan,ok,carry_orange,carry,orange,2.3,0,2,carry|carry,0.9|1.4,2,carry|carry,0.1,4.2,3,3,0,AI,1.8,0,0,3,1,22.6,1.3,13.6
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,good,0,follow_plan,ok,carry_onion,carry,onion,0.0,0,0,,,0,,0.0,0.0,1,3,2,AI,2.3,0,0,3,1,25.6,11.3,15.7
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,bad,2,follow_plan,ok,carry_apple,carry,apple,2.0,0,2,carry|carry,0.7|1.3,2,carry|carry,0.0,0.0,3,4,1,AI,3.5,0,0,3,1,29.3,16.7,18.3
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,4,follow_plan,ok,carry_onion,carry,onion,2.0,0,2,carry|carry,0.7|1.3,2,carry|carry,0.0,0.0,3,3,0,AI,1.4,0,0,3,1,26.3,8.0,16.2
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,0,follow_plan,ok,carry_apple,carry,apple,0.0,0,0,,,0,,0.0,0.0,1,6,5,AI,3.0,0,0,3,1,28.1,10.7,16.3
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,random,2,follow_plan,ok,carry_orange,carry,orange,2.0,0,2,carry|carry,0.7|1.3,2,carry|carry,0.0,0.0,3,4,1,AI,1.4,0,0,3,1,26.0,6.2,15.6
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,good,4,follow_plan,ok,carry_onion,carry,onion,2.0,0,2,carry|carry,0.7|1.3,2,carry|carry,0.0,0.0,3,3,0,AI,1.4,0,0,3,1,26.5,8.3,15.6
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,random,0,follow_plan,ok,carry_lettuce,carry,lettuce,0.0,0,0,,,0,,0.0,0.0,1,1,0,AI,2.0,0,0,3,1,27.6,12.3,16.1
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,2,follow_plan,ok,carry_onion,carry,onion,0.7,0,1,carry,0.7,1,carry,0.0,0.0,2,2,0,AI,2.0,0,0,3,1,25.8,5.0,14.7
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,4,follow_plan,ok,carry_apple,carry,apple,2.0,0,2,carry|carry,0.7|1.3,2,carry|carry,0.0,0.0,3,3,0,AI,3.5,0,0,3,1,25.8,5.0,14.8
