timestamp,participant_id,session,map,skip_budget,case,orders,instruction,instruction_verb,instruction_obj,quality,instruction_accepted_s,wait_seconds,wait_after_instruction_s,wait_censored,exec_rank,natural_rank,rank_gain,tasks_before,loss_seconds,baseline_seconds,constrained_seconds,loss_status,loss_num_tasks,free_start_s,bound_start_s,start_gain_s,free_rank,bound_rank,served,failed,completed,makespan_s,serve_times_s,serve_dishes,misserved,aborted,discard_reason,accepted,game_id
2026-09-23T21:51:54,923test2,5,exp_partition,0,12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,chop_apple,chop,apple,juice,0.0,0.2,0.2,0,1,3,2,0,2.0,25.8,27.8,ok,11,7.6,0.2,7.4,3,1,1,0,0,49.6,35.8,CookedLettuce-CookedOnion-Plate,0,1,bug,0,4
2026-09-23T21:52:50,923test2,5,exp_partition,0,16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_apple,chop,apple,juice,0.0,0.2,0.2,0,1,3,2,0,2.8,26.2,29.0,ok,11,8.0,0.2,7.8,3,1,3,0,1,44.8,23.2|35.2|44.8,Cup-MixedApple-MixedOrange|CookedOnion-CookedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate,0,0,,1,5
2026-09-23T21:54:25,923test2,6,exp_partition,1,11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,33.4,33.4,ok,11,0.0,0.0,0.0,1,1,1,0,0,66.6,8.4,ChoppedOnion-ChoppedTomato-Plate,0,1,bug,0,6
2026-09-23T21:55:14,923test2,6,exp_partition,1,9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,chop_apple,chop,apple,juice,0.0,0.2,0.2,0,1,1,0,0,0.0,29.4,29.4,ok,11,0.2,0.2,0.0,1,1,3,0,1,39.0,13.2|32.8|39.0,Cup-MixedApple-MixedBanana|ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedTomato-Plate,0,0,,1,7
2026-09-24T17:32:19,924test1,1,exp_partition,1,17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,28.4,28.4,ok,11,0.0,0.0,0.0,1,1,3,0,1,41.6,26.2|29.8|41.6,CookedOnion-CookedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|Cup-MixedBanana-MixedOrange,0,0,,1,0
2026-09-24T17:41:16,924test2,1,exp_ring,2,20,OnionTomatoSalad|OnionTomatoSalad|OnionLettuceSoup,chop_onion,chop,onion,salad/soup,0.0,0.2,0.2,0,1,1,0,0,0.0,43.2,43.2,ok,10,0.0,0.0,0.0,1,1,3,0,1,28.8,21.8|26.6|28.8,ChoppedOnion-ChoppedTomato-Plate|ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedOnion-Plate,0,0,,1,0
2026-09-24T17:42:18,924test2,2,exp_partition,0,9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,29.4,29.4,ok,11,0.0,0.0,0.0,1,1,3,0,1,34.2,24.6|29.0|34.2,ChoppedOnion-ChoppedTomato-Plate|Cup-MixedApple-MixedBanana|CookedLettuce-CookedTomato-Plate,0,0,,1,1
2026-09-24T17:43:07,924test2,3,exp_ring,1,26,TomatoLettuceSalad|TomatoLettuceSalad|OnionTomatoSoup,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,45.2,45.2,ok,10,0.0,0.0,0.0,1,1,3,0,1,29.4,24.8|25.6|29.4,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|CookedOnion-CookedTomato-Plate,0,0,,1,2
2026-09-24T17:43:56,924test2,4,exp_ring,0,20,OnionTomatoSalad|OnionTomatoSalad|OnionLettuceSoup,chop_tomato,chop,tomato,salad,0.0,0.2,0.2,0,1,5,4,0,2.4,43.2,45.6,ok,10,18.0,2.2,15.8,5,1,0,0,0,25.8,,,,1,bug,0,3
2026-09-24T17:44:53,924test2,4,exp_ring,0,26,TomatoLettuceSalad|TomatoLettuceSalad|OnionTomatoSoup,chop_tomato,chop,tomato,salad/soup,0.0,0.2,0.2,0,1,2,1,0,2.4,45.2,47.6,ok,10,4.8,2.2,2.6,2,1,3,0,1,42.8,18.8|32.4|42.8,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|CookedOnion-CookedTomato-Plate,0,0,,1,4
2026-09-24T17:46:14,924test2,5,exp_partition,1,8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,chop_onion,chop,onion,salad/soup,0.0,0.2,0.2,0,1,1,0,0,0.0,27.6,27.6,ok,11,0.0,0.0,0.0,1,1,3,0,1,39.6,27.6|33.4|39.6,CookedLettuce-CookedOnion-Plate|ChoppedOnion-ChoppedTomato-Plate|Cup-MixedBanana-MixedOrange,1,0,,1,5
2026-09-24T17:47:11,924test2,6,exp_partition,2,9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,29.4,29.4,ok,11,0.0,5.0,-5.0,1,2,3,0,1,35.6,22.4|31.4|35.6,ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedTomato-Plate|Cup-MixedApple-MixedBanana,0,0,,1,6
2026-09-24T17:59:42,924test3,1,exp_ring,0,25,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,46.0,46.0,ok,10,0.0,0.0,0.0,1,1,3,0,1,28.6,16.2|26.2|28.6,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|CookedLettuce-CookedOnion-Plate,0,0,,1,0
2026-09-24T18:00:41,924test3,2,exp_ring,2,20,OnionTomatoSalad|OnionTomatoSalad|OnionLettuceSoup,chop_tomato,chop,tomato,salad,0.0,3.4,3.4,0,3,5,2,2,0.0,43.2,43.2,ok,10,18.0,6.0,12.0,5,2,1,0,0,32.4,24.4,ChoppedOnion-ChoppedTomato-Plate,1,1,bug,0,1
2026-09-24T18:02:10,924test3,2,exp_ring,2,25,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,46.0,46.0,ok,10,0.0,0.0,0.0,1,1,1,0,0,28.8,28.0,CookedLettuce-CookedOnion-Plate,0,1,bug,0,2
2026-09-24T18:03:05,924test3,2,exp_ring,2,21,OnionTomatoSalad|OnionTomatoSalad|TomatoLettuceSoup,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,44.0,44.0,ok,10,0.0,0.0,0.0,1,1,3,0,1,45.0,24.2|29.4|45.0,ChoppedOnion-ChoppedTomato-Plate|ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedTomato-Plate,0,0,,1,3
2026-09-24T18:04:27,924test3,3,exp_partition,0,7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,chop_onion,chop,onion,salad/soup,0.0,0.2,0.2,0,1,1,0,0,0.0,27.2,27.2,ok,11,0.0,0.0,0.0,1,1,3,0,1,41.6,19.0|29.6|41.6,ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedOnion-Plate|Cup-MixedApple-MixedOrange,0,0,,1,4
2026-09-24T18:05:12,924test3,4,exp_partition,1,14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,28.4,28.4,ok,11,0.0,0.0,0.0,1,1,0,0,0,13.8,,,,1,bug,0,5
2026-09-24T18:06:18,924test3,4,exp_partition,1,9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,chop_apple,chop,apple,juice,0.0,3.6,3.6,0,2,2,0,1,0.0,29.4,29.4,ok,11,5.2,0.2,5.0,2,1,3,0,1,52.8,37.2|50.6|52.8,ChoppedOnion-ChoppedTomato-Plate|Cup-MixedApple-MixedBanana|CookedLettuce-CookedTomato-Plate,0,0,,1,6
2026-09-24T18:07:46,924test3,5,exp_ring,1,21,OnionTomatoSalad|OnionTomatoSalad|TomatoLettuceSoup,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,44.0,44.0,ok,10,0.0,0.0,0.0,1,1,1,0,0,30.0,20.6,ChoppedOnion-ChoppedTomato-Plate,1,1,bug,0,7
2026-09-24T18:08:26,924test3,5,exp_ring,1,26,TomatoLettuceSalad|TomatoLettuceSalad|OnionTomatoSoup,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,45.2,45.2,ok,10,0.0,0.0,0.0,1,1,3,0,1,29.0,15.6|26.4|29.0,ChoppedLettuce-ChoppedTomato-Plate|CookedOnion-CookedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate,0,0,,1,8
2026-09-24T18:09:40,924test3,6,exp_partition,2,12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,25.8,25.8,ok,11,0.0,0.0,0.0,1,1,3,0,1,41.0,29.2|36.6|41.0,CookedLettuce-CookedOnion-Plate|ChoppedLettuce-ChoppedTomato-Plate|Cup-MixedApple-MixedBanana,0,0,,1,9
2026-09-24T18:38:43,924test4,1,exp_ring,2,26,TomatoLettuceSalad|TomatoLettuceSalad|OnionTomatoSoup,chop_lettuce,chop,lettuce,salad,0.0,4.4,4.4,0,2,6,4,1,0.0,45.2,45.2,ok,10,24.8,5.0,19.8,6,2,3,0,1,50.2,29.0|34.2|50.2,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|CookedOnion-CookedTomato-Plate,0,0,,1,0
2026-09-24T18:39:54,924test4,2,exp_partition,0,16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_apple,chop,apple,juice,0.0,0.2,0.2,0,1,3,2,0,2.8,26.2,29.0,ok,11,8.0,0.2,7.8,3,1,3,0,1,43.4,31.6|36.4|43.4,ChoppedLettuce-ChoppedTomato-Plate|Cup-MixedApple-MixedOrange|CookedOnion-CookedTomato-Plate,0,0,,1,1
2026-09-24T18:41:09,924test4,3,exp_ring,0,20,OnionTomatoSalad|OnionTomatoSalad|OnionLettuceSoup,chop_tomato,chop,tomato,salad,0.0,0.2,0.2,0,1,5,4,0,2.4,43.2,45.6,ok,10,18.0,2.2,15.8,5,1,3,0,1,47.8,10.6|21.2|47.8,ChoppedOnion-ChoppedTomato-Plate|ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedOnion-Plate,0,0,,1,2
2026-09-24T18:42:12,924test4,4,exp_partition,2,12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,chop_apple,chop,apple,juice,0.0,4.0,4.0,0,2,3,1,1,0.0,25.8,25.8,ok,11,7.6,7.6,0.0,3,3,3,0,1,42.0,14.4|29.4|42.0,Cup-MixedApple-MixedBanana|ChoppedLettuce-ChoppedTomato-Plate|CookedLettuce-CookedOnion-Plate,0,0,,1,3
2026-09-24T18:43:16,924test4,5,exp_partition,1,13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,chop_apple,chop,apple,juice,0.0,4.0,4.0,0,2,3,1,1,1.6,26.2,27.8,ok,11,7.6,0.2,7.4,3,1,3,0,1,39.2,14.6|35.6|39.2,Cup-MixedApple-MixedOrange|CookedLettuce-CookedOnion-Plate|ChoppedLettuce-ChoppedTomato-Plate,1,0,,1,4
2026-09-24T18:43:32,924test4,6,exp_ring,1,26,TomatoLettuceSalad|TomatoLettuceSalad|OnionTomatoSoup,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,,,0,1,quit,0,5
2026-09-25T14:09:39,925tet1,1,exp_ring,1,26,TomatoLettuceSalad|TomatoLettuceSalad|OnionTomatoSoup,chop_lettuce,chop,lettuce,salad,0.0,3.4,3.4,0,2,6,4,1,0.0,45.2,45.2,ok,10,24.8,5.0,19.8,6,2,3,0,1,34.8,22.0|23.4|34.8,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|CookedOnion-CookedTomato-Plate,0,0,,1,1
2026-09-25T14:10:34,925tet1,2,exp_partition,0,7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,chop_apple,chop,apple,juice,0.0,0.2,0.2,0,1,3,2,0,1.2,27.2,28.4,ok,11,7.6,0.2,7.4,3,1,3,0,1,32.2,25.2|29.6|32.2,ChoppedOnion-ChoppedTomato-Plate|Cup-MixedApple-MixedOrange|CookedLettuce-CookedOnion-Plate,0,0,,1,2
2026-09-25T14:11:35,925tet1,3,exp_partition,2,16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_apple,chop,apple,juice,0.0,3.4,3.4,0,2,3,1,1,0.0,26.2,26.2,ok,11,8.0,8.0,0.0,3,3,3,0,1,40.2,12.8|29.4|40.2,Cup-MixedApple-MixedOrange|ChoppedLettuce-ChoppedTomato-Plate|CookedOnion-CookedTomato-Plate,0,0,,1,3
2026-09-25T14:12:57,925tet1,4,exp_ring,2,21,OnionTomatoSalad|OnionTomatoSalad|TomatoLettuceSoup,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,44.0,44.0,ok,10,0.0,0.0,0.0,1,1,2,0,0,46.2,12.2|28.8,ChoppedOnion-ChoppedTomato-Plate|ChoppedOnion-ChoppedTomato-Plate,0,1,bug,0,4
2026-09-25T14:13:50,925tet1,4,exp_ring,2,21,OnionTomatoSalad|OnionTomatoSalad|TomatoLettuceSoup,chop_onion,chop,onion,salad,0.0,0.2,0.2,0,1,1,0,0,0.0,44.0,44.0,ok,10,0.0,0.0,0.0,1,1,3,0,1,40.8,17.6|37.0|40.8,ChoppedOnion-ChoppedTomato-Plate|ChoppedOnion-ChoppedTomato-Plate|CookedLettuce-CookedTomato-Plate,1,0,,1,5
2026-09-25T14:15:04,925tet1,5,exp_partition,1,17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_onion,chop,onion,soup,0.0,0.2,0.2,0,1,1,0,0,0.0,28.4,28.4,ok,11,0.0,0.0,0.0,1,1,3,0,1,53.0,41.0|48.2|53.0,ChoppedLettuce-ChoppedTomato-Plate|Cup-MixedBanana-MixedOrange|CookedOnion-CookedTomato-Plate,0,0,,1,6
2026-09-25T14:16:31,925tet1,6,exp_ring,0,25,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,chop_tomato,chop,tomato,salad,0.0,0.2,0.2,0,1,4,3,0,2.4,46.0,48.4,ok,10,14.6,2.2,12.4,4,1,2,0,0,41.6,17.0|28.2,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate,0,1,bug,0,7
2026-09-25T14:17:37,925tet1,6,exp_ring,0,25,TomatoLettuceSalad|TomatoLettuceSalad|OnionLettuceSoup,chop_tomato,chop,tomato,salad,0.0,0.2,0.2,0,1,4,3,0,2.4,46.0,48.4,ok,10,14.6,2.2,12.4,4,1,3,0,1,52.4,17.2|27.8|52.4,ChoppedLettuce-ChoppedTomato-Plate|ChoppedLettuce-ChoppedTomato-Plate|CookedLettuce-CookedOnion-Plate,0,0,,1,8
